offline_datapoint_22 1686495568 4623433728,000
offline_datapoint_9 1686495568 7213867008,000
offline_datapoint_8 1686495566 0,174
offline_datapoint_14 1686495566 0,686
offline_datapoint_26 1686495566 0,607
offline_datapoint_15 1686495566 1229,079
offline_datapoint_20 1686495568 0,000
offline_datapoint_2 1686495566 1534,683
offline_datapoint_18 1686495566 284,275
offline_datapoint_0 1686495566 0,619
offline_datapoint_19 1686495566 13,997
offline_datapoint_12 1686495566 99,171
offline_datapoint_1 1686495566 0,000
offline_datapoint_24 1686495566 5948,952
offline_datapoint_6 1686495566 0,006
offline_datapoint_13 1686495571 251767,000
offline_datapoint_7 1686495571 2828,000
offline_datapoint_28 1686495571 598937600,000
offline_datapoint_16 1686495571 481693696,000
offline_datapoint_5 1686495571 8720932864,000
offline_datapoint_11 1686495571 221831168,000
offline_datapoint_27 1686495571 9872,000
offline_datapoint_21 1686495569 22,341
offline_datapoint_10 1686495569 6707,532
offline_datapoint_23 1686495571 221831168,000
offline_datapoint_3 1686495569 4,335
offline_datapoint_22 1686495571 4624343040,000
offline_datapoint_9 1686495571 7215464448,000
offline_datapoint_8 1686495569 0,043
offline_datapoint_14 1686495569 2,951
offline_datapoint_26 1686495569 1,346
offline_datapoint_15 1686495569 2387,449
offline_datapoint_20 1686495571 0,000
offline_datapoint_2 1686495569 2651,869
offline_datapoint_18 1686495569 955,980
offline_datapoint_0 1686495569 1,230
offline_datapoint_19 1686495569 10,670
